,sub_id,age,condition,1.11Hz,1.67Hz,3.3Hz
176,me2_324_11m,adult,duple,8.336620386312814e-26,8.785230151709543e-26,3.911991418715556e-25
177,me2_307_11m,adult,duple,5.611925912881428e-26,1.281377902573723e-25,1.5800516207893005e-25
178,me2_319_11m,adult,duple,9.665338949908648e-26,2.8086515150528614e-25,3.333113540784437e-25
179,me2_326_11m,adult,duple,4.8534756201648184e-26,8.813749950418159e-26,4.480367471206967e-25
180,me2_312_11m,adult,duple,6.01486481506381e-26,1.6788084287838548e-25,3.795579618584427e-25
181,me2_305_11m,adult,duple,6.761805303350226e-26,2.207058446766501e-25,6.637913791349422e-25
182,me2_110_11m,adult,duple,7.64017463435886e-26,1.71978663208404e-25,4.393157672866937e-25
183,me2_321_11m,adult,duple,1.308114790058716e-25,1.0763621866870385e-25,2.3549929960393295e-25
184,me2_308_11m,adult,duple,9.173934763069605e-26,9.838377994165132e-26,2.211471090488408e-25
185,me2_310_11m,adult,duple,4.6830170502873984e-26,8.920065173630946e-26,3.037584501634356e-25
186,br_03,adult,triple,9.494804776917678e-26,3.235199314346454e-26,1.5629563546730691e-25
187,br_05,adult,triple,1.5114335785131977e-25,6.203284614915987e-26,8.807998826895605e-26
188,br_09,adult,triple,2.154246716207034e-25,2.0575879624940705e-26,4.575698379622038e-25
189,br_17,adult,triple,9.244994086293868e-26,2.775766816944879e-26,1.0679687355381748e-25
190,br_13,adult,triple,3.209023114904027e-25,4.0587124281429044e-26,4.1317371502849066e-25
191,br_16,adult,triple,1.2913705824895867e-25,6.659859171139602e-26,3.982789925554673e-25
192,br_12,adult,triple,1.2665734512818054e-25,2.4316357640494763e-26,1.4861273097232126e-25
193,br_10,adult,triple,4.391446175838709e-25,4.665688442726242e-26,2.0645904321509683e-25
194,br_07,adult,triple,8.959157805911216e-26,3.345897443479109e-26,4.6062175985625205e-25
195,br_01,adult,triple,1.4281164371621756e-25,5.59740256668343e-26,3.4538783442627118e-25
196,br_06,adult,triple,1.980195155583928e-25,1.120637908658628e-25,6.3835938256078495e-25
197,br_08,adult,triple,1.8303305059059176e-25,7.135320149670764e-26,4.670111579623382e-25
198,br_04,adult,triple,1.1421454653566043e-25,7.757807157282325e-26,2.2107142959993427e-25
199,br_14,adult,triple,1.5680278738548227e-25,5.604278529605554e-26,2.0332407396948096e-25
200,br_02,adult,triple,1.07811098695076e-25,2.5369690128352646e-26,3.390670378597894e-25
